"","PrimKey","MoV","Home","teamDayOff_x","teamMin_T6_x","teamPF_T6_x","team3P._T6_x","teamFT._T6_x","teamTREB._T6_x","teamBLKR_T6_x","teamPPS_T6_x","teamEDiff_T6_x","teamAST.TO_T6_x","teamSTL.TO_T6_x","poss_T6_x","teamMin_T6_y","teamPF_T6_y","team3P._T6_y","teamFT._T6_y","teamTREB._T6_y","teamBLKR_T6_y","teamPPS_T6_y","teamEDiff_T6_y","teamAST.TO_T6_y","teamSTL.TO_T6_y","poss_T6_y","teamDayOff_y"
"153","43059OKC",-7,0,3,240.5,22.1666666666667,0.364483333333333,0.716133333333333,49.2977666666667,8.0862,1.25851666666667,2.81956666666667,1.44356666666667,71.7864833333334,95.1776333333333,239.833333333333,18.3333333333333,0.38705,0.733433333333333,48.12025,6.7168,1.352,-5.20115,1.90355,47.9103166666667,99.1222500000001,2
"154","43059DAL",-8,1,1,240.166666666667,23,0.327116666666667,0.81625,50.45825,7.6543,1.17505,-0.769650000000004,1.55203333333333,45.2441166666667,96.6452,239.666666666667,19.1666666666667,0.323166666666667,0.814483333333333,52.81215,8.2719,1.17145,6.26011666666666,1.26105,55.0038166666667,97.39795,2
"155","43059ATL",-11,0,2,239.833333333333,21,0.434116666666667,0.75785,49.2678833333333,6.10343333333333,1.28216666666667,1.02415,1.5888,59.0377,96.1255833333334,240.166666666667,17.3333333333333,0.405866666666667,0.82355,52.8337,10.7689166666667,1.2913,7.05775,1.7821,54.3854166666667,92.80005,3
"156","43059SAC",-16,1,2,240.666666666667,19.5,0.375816666666667,0.686383333333333,44.4360166666667,5.88693333333333,1.05613333333333,-17.3713166666667,1.81581666666667,78.2090166666667,94.4999833333333,240.5,16.3333333333333,0.371133333333333,0.769133333333333,52.7414,10.2043333333333,1.29986666666667,5.16231666666667,1.48716666666667,50.8116333333333,99.9966833333334,1
"157","43060CHI",-9,0,2,238.166666666667,20.3333333333333,0.352016666666667,0.744916666666667,45.6246333333333,4.32763333333333,1.14966666666667,-13.8262666666667,1.71148333333333,64.5589333333333,97.9219166666667,240,21.8333333333333,0.265566666666667,0.664283333333333,51.2396666666667,10.6759833333333,1.15328333333333,-2.17663333333333,1.43976666666667,50.5427333333333,105.128016666667,2
"158","43061CHA",5,1,2,239.666666666667,18.5,0.371883333333333,0.738133333333333,52.0774,9.5652,1.26926666666667,2.01226666666667,1.69096666666667,48.5146166666667,98.3330333333333,240.333333333333,18.1666666666667,0.388083333333333,0.798366666666667,52.9134,6.47851666666667,1.2599,8.08028333333333,1.40215,46.1899,92.6492333333333,1
"159","43061BKN",-10,0,3,240.333333333333,19.5,0.354533333333333,0.69375,48.2801333333333,6.71195,1.23206666666667,-2.2032,1.63351666666667,50.20465,102.111316666667,244.333333333333,21.1666666666667,0.391216666666667,0.844466666666667,50.0181333333333,7.03058333333333,1.31566666666667,8.3023,1.5422,48.0683,99.6097333333334,2
"160","43061PHI",20,1,2,240,22,0.3159,0.729733333333333,53.1030833333333,10.4342333333333,1.27901666666667,0.401483333333333,1.53728333333333,49.2851333333333,103.166833333333,240.833333333333,18.3333333333333,0.392633333333333,0.828966666666667,54.0476833333333,8.30863333333333,1.19823333333333,6.014,1.08836666666667,38.7027666666667,93.7660333333333,1
"161","43061LAC",13,0,2,243.833333333333,25.1666666666667,0.33895,0.732066666666667,46.0186333333333,7.5729,1.1679,-10.643,1.20205,52.9965166666667,100.266416666667,239.333333333333,19.8333333333333,0.395233333333333,0.687016666666667,48.6126166666667,7.01253333333333,1.22866666666667,-0.432033333333335,1.53641666666667,57.2916666666667,95.52465,1
"162","43061MIA",6,1,3,239.666666666667,19.5,0.3703,0.791533333333334,51.1892833333333,8.99945,1.20403333333333,-3.65668333333333,1.36195,45.9446,95.1887,244,19.8333333333333,0.343116666666667,0.820066666666667,53.4924166666667,8.2115,1.20773333333333,5.73768333333333,1.25825,53.3231333333333,97.8969166666666,1
